				LA19	LA21	DF21	ADD23.1	ADD23.2	HABLA	Partial	HAD	SceneFake	CtrSVDD	AVG		
ASV19	w2v	FFN	[0.12891246401134326, 0.39173409604392617, 0.1900021512204867, 0.6512385048326018, 1.0, 0.9945151764176722, 0.8434390747786322, 0.686771255860195, 0.4868755530474835, 0.33349134834447636, 0.149608952280397, 0.08551471499119162, 0.0, 0.2250600078890219, 0.16911565667491654, 0.2753267386029296, 0.44616773962782263, 0.7207354237825493, 0.5213277192100347, 0.8582715762379557, 0.38173862537617526, 0.5034958849566593, 0.46206250478503974, 0.6712446126971997]
ASV19	w2v	AASIST	[0.5676118819606959, 0.7850023814897387, 0.7547466045082418, 0.9012258442541309, 1.0, 0.8253851854963371, 0.7277455301680283, 0.520756160369306, 0.34187780287814984, 0.2602857930076049, 0.17913928902741966, 0.120562295001435, 0.007379948354778612, 0.0, 0.05685014698312566, 0.1220855228918477, 0.2085941165456229, 0.3207658429583729, 0.36896324389516344, 0.4677333058993316, 0.24378659004131492, 0.16716527253996427, 0.1700276879330023, 0.19227023251740955]
ASV19	hub	FFN	[0.471673772741802, 0.6056984939241796, 0.746772543022309, 0.7776706141862846, 0.8754765211176184, 0.9422738578033829, 1.0, 0.9495024134520132, 0.8524091712855246, 0.7442293854285974, 0.671949260085707, 0.5711831824940226, 0.42300697526686876, 0.16462763438845962, 0.0, 0.11751611889306164, 0.2224995287248731, 0.303602990920807, 0.27801489930511986, 0.24472811251670173, 0.1357956689297418, 0.41441520261966763, 0.29681909779622934, 0.24867181387649234]
ASV19	hub	AASIST	[0.4732772227387727, 0.7524710812297474, 0.8393785418382113, 0.9164113277779304, 0.954101614441981, 0.9740969329484886, 1.0, 0.9390476729094793, 0.8104668409546748, 0.7005666492288884, 0.5371831996773668, 0.36757017695641386, 0.23961907993616524, 0.1606409830867019, 0.12381966779350155, 0.10070642076033677, 0.09902144218277062, 0.08595522777620379, 0.04175236874369222, 0.0, 0.01457299999124743, 0.03135096995114052, 0.23459085070995556, 0.3303047257275447]
ASV19	wavlm	FFN	[0.275828393996921, 0.4579123747747582, 0.5999815097889015, 0.9116257872216953, 0.9456123647831535, 1.0, 0.9096804868552975, 0.8423098905785299, 0.9701006012955391, 0.8764656746266458, 0.7296570352956309, 0.5468118167378904, 0.23667814744163237, 0.0, 0.24273627561210065, 0.34047905342369456, 0.2707259762199807, 0.36444684600257365, 0.4450978545612824, 0.4182702043838258, 0.41560003414755303, 0.16379915266597836, 0.14402496293344327, 0.19513814637739213]
ASV19	wavlm	AASIST	[0.6889473143248211, 0.8525619680321461, 0.8941476480105085, 1.0, 0.9425442081133736, 0.9475450805723712, 0.8306173718445989, 0.6955809446129202, 0.574162232509496, 0.48681318216594605, 0.3256243138234096, 0.0930758381076491, 0.02208599154459477, 0.02461970808570062, 0.0, 0.011094846865519363, 0.028227404185339353, 0.06192546644379348, 0.10217735979013985, 0.13729893681355915, 0.11003482297356497, 0.29646285448358506, 0.3216876758593266, 0.40939986772455206]
ADD22	w2v	FFN	[0.7682038618055174, 0.8183074401833895, 0.7379528905322066, 0.9054014433966895, 1.0, 0.8214320959258254, 0.7585284572007043, 0.876502726295758, 0.9105084847478845, 0.4980787924907604, 0.09703665479705935, 0.0375225876297823, 0.023655093475772715, 0.15179765883039067, 0.0, 0.047580392714982433, 0.10906701276276194, 0.28335549831519646, 0.5589301107009792, 0.871962097910901, 0.10893419621451318, 0.7351045075557494, 0.6067201587008318, 0.8613932599367489]
ADD22	w2v	AASIST	[0.7153975521712248, 0.7827911470278628, 0.8269001650441737, 0.8127567976213309, 1.0, 0.8338433334929026, 0.6289415607180152, 0.5318232933292553, 0.3724241408802466, 0.3692098260572196, 0.25339540668296584, 0.0, 0.058640988839429184, 0.03748728104988501, 0.07919024491760356, 0.08973250957438725, 0.21683439102827784, 0.3481100086826631, 0.4149504623826271, 0.4905837488102785, 0.32123980823802933, 0.49682767956950386, 0.4817073094990553, 0.4144570402141937]
ADD22	hub	FFN	[0.7213487484514328, 0.8762609601465262, 0.9201794811247181, 0.954811651285631, 0.9674800647148086, 1.0, 0.8344069361592383, 0.7606035001195115, 0.8054060601135431, 0.7330047856674439, 0.868510770055379, 0.8601464265251225, 0.6017022885653003, 0.5239622533214191, 0.4334979624249556, 0.19578205812675875, 0.4360664826648751, 0.338925548994002, 0.3525049788948589, 0.0, 0.19779781806781266, 0.4314118168583787, 0.23673883191612877, 0.32207285445129685]
ADD22	hub	AASIST	[0.7112257986325028, 0.8480209669437346, 0.9720666309811176, 0.9925598995418117, 0.9973377233292597, 1.0, 0.9243021960079323, 0.8544194533377778, 0.6785060210948725, 0.4095399930648834, 0.22245681543501053, 0.21084739714313577, 0.08910143112520579, 0.10507576446190599, 0.09209245250623656, 0.05042065183359761, 0.02197809041910353, 0.0, 0.012489269085877611, 0.026529344631513033, 0.13258511508589782, 0.20255033850773835, 0.17347503189816793, 0.17769754140028782]
ADD22	wavlm	FFN	[0.9257726934029574, 0.9024779890810152, 0.91047470353743, 0.879054834147347, 0.8403291370524021, 0.8393503934663024, 0.8997883410091364, 0.7956623905182358, 0.9176973001016756, 1.0, 0.9029281352590255, 0.9391679753884684, 0.9065868153527391, 0.6776443508323837, 0.6925942418162812, 0.09343404933611217, 0.15777915644897567, 0.30212721951921234, 0.3756782067111007, 0.45647546240513104, 0.33622285247913875, 0.43067669193468994, 0.5920317525663379, 0.0]
