				LA19	LA21	DF21	ADD23.1	ADD23.2	HABLA	Partial	HAD	SceneFake	CtrSVDD	AVG		
ASV19	w2v	FFN	[0.2496662391238661, 0.6161396452862965, 1.0, 0.9962512189814908, 0.5608887311052362, 0.36644587722180605, 0.19459580467754156, 0.0, 0.004669238677236809, 0.1909887426453684, 0.23114025312530592, 0.2983752859706352]
ASV19	w2v	AASIST	[0.681353162307001, 0.8746582617114584, 1.0, 0.8444796303238973, 0.42714996724478066, 0.2101272718307464, 0.0, 0.004070987120455416, 0.168820997360538, 0.30215339147612896, 0.06932366147774945, 0.06531007099703433]
ASV19	hub	FFN	[0.7636549361826066, 1.0, 0.9190690150644047, 0.8631825500194068, 0.7527034366751861, 0.34596178404114053, 0.24280203740942374, 0.5877421800305057, 0.668088093979506, 0.2644192371945902, 0.0, 0.1343904271790226]
ASV19	hub	AASIST	[1.0, 0.9872967382939826, 0.9511738274945496, 0.9053058618820923, 0.6791768041043036, 0.0, 0.17084876952554004, 0.12168542277715659, 0.07006836133740948, 0.08355046593080649, 0.3942512426161164, 0.4942709992499248]
ASV19	wavlm	FFN	[0.8182510647660826, 0.9592731609805316, 1.0, 0.8313079220325098, 0.7129948817044612, 0.32905890415250666, 0.2408678595311824, 0.0725773083015923, 0.07870032096931047, 0.07086035836351372, 0.0, 0.05033063836269266]
ASV19	wavlm	AASIST	[0.9595271144394633, 1.0, 0.8719586829631559, 0.7578642248739675, 0.6382397582655256, 0.34561320125006234, 0.12888050903207024, 0.07284162392296321, 0.01612479070463176, 0.0, 0.13700221479133193, 0.12781989151758]
ADD22	w2v	FFN	[0.7739, 1.0, 0.8821, 0.8611, 0.7183, 0.1369, 0.4078, 0.7690, 0.7459, 0.1645, 0.0, 0.2715]
ADD22	w2v	AASIST	[1.0, 0.9394592515362321, 0.6834828923207293, 0.5514196023238207, 0.17712579531715753, 0.010016067950694955, 0.0, 0.029349371202622737, 0.14512822039045695, 0.05653472130217939, 0.6139295627891737, 0.36283751176855]
ADD22	hub	FFN	[0.7636549361826066, 1.0, 0.9190690150644047, 0.8631825500194068, 0.7527034366751861, 0.34596178404114053, 0.24280203740942374, 0.5877421800305057, 0.668088093979506, 0.2644192371945902, 0.0, 0.1343904271790226]
ADD22	hub	AASIST	[0.9093623852470247, 0.9774551888364724, 1.0, 0.8883142124957404, 0.7086041491810408, 0.45277048908130957, 0.14210466821168158, 0.08288321003163904, 0.0, 0.24307403608743214, 0.17383696351133918, 0.1915401111102376]
ADD22	wavlm	FFN	[0.7993233831731553, 0.9594072559889257, 0.9600508051458342, 1.0, 0.5513777098496496, 0.36745961381301284, 0.0886063330986325, 0.0, 0.06988035085854898, 0.249841546884457, 0.20741756241939963, 0.09838290191893567]
ADD22	wavlm	AASIST	[1.0, 0.9994380786848768, 0.9239103366685293, 0.7940243536218208, 0.5041116358342085, 0.32383564371250123, 0.10491571705012952, 0.03917796968593453, 0.0, 0.06035826531831536, 0.09549993680634115, 0.21707194316978518]
spanish	w2v	FFN	[0.8630929104005343, 0.867556041548659, 1.0, 0.7871399603394988, 0.611676264629247, 0.14371020626002273, 0.03985839568222285, 0.05287769822970201, 0.0, 0.20387267391282618, 0.1281206196199476, 0.10653994039060517]
spanish	w2v	AASIST	[0.8692565450183773, 0.9618104353394044, 1.0, 0.7678542331463485, 0.5373628334329326, 0.11930049762696117, 0.0, 0.03410320343900871, 0.13238716694401975, 0.1966955881029911, 0.11417545760721894, 0.1140550339935353]
spanish	hub	FFN	[0.38435547376117196, 0.39127223358172886, 0.5257637468950558, 0.9350454358006832, 1.0, 0.8629301532056879, 0.6521609254043237, 0.2568765823362416, 0.21483935906562077, 0.10431558861164593, 0.0, 0.08842607988396828]
spanish	hub	AASIST	[0.6178351427586162, 0.5756693548411955, 0.7029251271127804, 1.0, 0.885072911687781, 0.6003159367793622, 0.3621342127297372, 0.19608619909132707, 0.1374996802727192, 0.0003642579723034509, 0.0, 0.0016037212249302012]
